insta_post_code,source_feed_code_ref,account_code_ref,vendor_code,hashtag,post_status,moderation_status,generated_image_asset,scheduled_upload_at,published_at,post_url,visibility_check,last_error_msg,post_code,caption copy,source_url,image_url,price,post_url copy,caption,retry_count,error_message,ig_media_id,like_count,comments_count
,,,,,posted,,,,,,,,,,https://www.facebook.com/groups/3393946167372584,https://scontent-icn2-1.xx.fbcdn.net/v/t39.30808-6/698658754_1759466731685133_6251199598526829242_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=7b2446&_nc_ohc=55bU_GO-DyEQ7kNvwFTIhq1&_nc_oc=AdpskHCC2oKDkMV4DPysjsz0QhWxD-blvaE1LAgqZD3uGRYsKvrxtBQjP0zodh8QF00&_nc_zt=23&_nc_ht=scontent-icn2-1.xx&_nc_gid=ZZATORW5M8Id-DTEWHyOrA&_nc_ss=7b2a8&oh=00_Af72Fn8gU92eG6-BIfZht6Ngh0qFFxd316ML5hAocsRI4A&oe=6A079292,,,,1,,,,
,,,,,posted,,,,,,,,,,https://www.facebook.com/groups/3393946167372584,https://scontent-icn2-1.xx.fbcdn.net/v/t39.30808-6/698658754_1759466731685133_6251199598526829242_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=7b2446&_nc_ohc=55bU_GO-DyEQ7kNvwFTIhq1&_nc_oc=AdpskHCC2oKDkMV4DPysjsz0QhWxD-blvaE1LAgqZD3uGRYsKvrxtBQjP0zodh8QF00&_nc_zt=23&_nc_ht=scontent-icn2-1.xx&_nc_gid=_R3LLaO5AtumfCkeQdo8tw&_nc_ss=7b2a8&oh=00_Af5q27R1W9jsBn9O_xhURQsAvP0tZYHYJlfEaTGVsOBLdw&oe=6A079292,,,,1,,,,
,,,,,posted,,,,,,,,,,https://www.facebook.com/groups/3393946167372584,https://scontent-icn2-1.xx.fbcdn.net/v/t39.30808-6/698658754_1759466731685133_6251199598526829242_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=7b2446&_nc_ohc=55bU_GO-DyEQ7kNvwFTIhq1&_nc_oc=AdpskHCC2oKDkMV4DPysjsz0QhWxD-blvaE1LAgqZD3uGRYsKvrxtBQjP0zodh8QF00&_nc_zt=23&_nc_ht=scontent-icn2-1.xx&_nc_gid=xle1GBb5G_jfP8SvZa8Vlw&_nc_ss=7b2a8&oh=00_Af4pkXlVT5BzVXH7UKEZTFdzsfgpCgBDgVz5F3MfyPnjGg&oe=6A079292,,,,0,,,,
,,,,,posted,,,,,,,,,,https://www.facebook.com/groups/3393946167372584,https://scontent-icn2-1.xx.fbcdn.net/v/t39.30808-6/698658754_1759466731685133_6251199598526829242_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=7b2446&_nc_ohc=55bU_GO-DyEQ7kNvwFTIhq1&_nc_oc=AdpskHCC2oKDkMV4DPysjsz0QhWxD-blvaE1LAgqZD3uGRYsKvrxtBQjP0zodh8QF00&_nc_zt=23&_nc_ht=scontent-icn2-1.xx&_nc_gid=UBit2RP_DBuswyXTy_1P_w&_nc_ss=7b2a8&oh=00_Af4BpelbYWELVtPMB15pGZ_qyKzGbFz97lqeEwqIyXiBlA&oe=6A079292,,,,0,,,,
,,,,,posted,,,,,,,,,,https://www.facebook.com/groups/3393946167372584,https://scontent-icn2-1.xx.fbcdn.net/v/t39.30808-6/696171258_898302209889021_5806722386930975878_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=e06c5d&_nc_ohc=g0F8W8ygFSsQ7kNvwGzSdyi&_nc_oc=AdoINLVbenu_2GwZ4oBb64k0W6ghLlYr7w_k0iygboRwQex4E9qgh3xGoDHIx47vJ30&_nc_zt=23&_nc_ht=scontent-icn2-1.xx&_nc_gid=gBI3fx5Cj98glZ5jct-YNw&_nc_ss=7b2a8&oh=00_Af77hk3uSvFpxNaKHYcT5fuTJV4fl4DC8W-fweaEXDTHkg&oe=6A07B540,,,,0,,,,
,,,,,posted,,,,,,,,,,https://www.facebook.com/groups/3393946167372584,https://scontent-icn2-1.xx.fbcdn.net/v/t39.30808-6/696171258_898302209889021_5806722386930975878_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=e06c5d&_nc_ohc=g0F8W8ygFSsQ7kNvwGzSdyi&_nc_oc=AdoINLVbenu_2GwZ4oBb64k0W6ghLlYr7w_k0iygboRwQex4E9qgh3xGoDHIx47vJ30&_nc_zt=23&_nc_ht=scontent-icn2-1.xx&_nc_gid=raGvXi1PAGq1Vr94lT5QjQ&_nc_ss=7b2a8&oh=00_Af40_kgPvKkZSRAnkXuCkUPPayk9AxYywzuNG-1sn4tf-w&oe=6A07B540,,,,1,,,,
,,,,,posted,,,,,,,,,,https://www.facebook.com/groups/3393946167372584,https://scontent-icn2-1.xx.fbcdn.net/v/t39.30808-6/696171258_898302209889021_5806722386930975878_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=e06c5d&_nc_ohc=g0F8W8ygFSsQ7kNvwGzSdyi&_nc_oc=AdoINLVbenu_2GwZ4oBb64k0W6ghLlYr7w_k0iygboRwQex4E9qgh3xGoDHIx47vJ30&_nc_zt=23&_nc_ht=scontent-icn2-1.xx&_nc_gid=aZQ5B2eWe1tY19AZU6gi9g&_nc_ss=7b2a8&oh=00_Af4PflbZEzEOi1NDOW7s8bastLDdlTHp1J23xxlD26x4hQ&oe=6A07B540,,,,1,,,,
,,,,,posted,,,,,,,,,,https://www.facebook.com/groups/3393946167372584,https://scontent-icn2-1.xx.fbcdn.net/v/t39.30808-6/696171258_898302209889021_5806722386930975878_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=e06c5d&_nc_ohc=g0F8W8ygFSsQ7kNvwGzSdyi&_nc_oc=AdoINLVbenu_2GwZ4oBb64k0W6ghLlYr7w_k0iygboRwQex4E9qgh3xGoDHIx47vJ30&_nc_zt=23&_nc_ht=scontent-icn2-1.xx&_nc_gid=9wn6jzkyjtFtSJjrpKv8hw&_nc_ss=7b2a8&oh=00_Af4thYYgZsqeyNEWsNNSU98a8auCOgw1VS1IdhuUhaak9g&oe=6A07B540,,,,0,,,,
,,,,,posted,,,,,,,,,,https://www.facebook.com/groups/3393946167372584,https://scontent-icn2-1.xx.fbcdn.net/v/t39.30808-6/696171258_898302209889021_5806722386930975878_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=e06c5d&_nc_ohc=g0F8W8ygFSsQ7kNvwGzSdyi&_nc_oc=AdoINLVbenu_2GwZ4oBb64k0W6ghLlYr7w_k0iygboRwQex4E9qgh3xGoDHIx47vJ30&_nc_zt=23&_nc_ht=scontent-icn2-1.xx&_nc_gid=PklZ__bYtjMpjb54rZ6gvg&_nc_ss=7b2a8&oh=00_Af5NctATHIb6tFXDcQ8aHCjguv2pPmsrz39x4BC8tD6Kfw&oe=6A07B540,,,,1,,,,
,,,,,posted,,,,,,,,,,https://www.facebook.com/groups/3393946167372584,https://scontent-icn2-1.xx.fbcdn.net/v/t39.30808-6/689013509_122300463194222479_6159890455841513679_n.jpg?stp=dst-jpg_p843x403_tt6&_nc_cat=105&ccb=1-7&_nc_sid=e06c5d&_nc_ohc=IcdQvPy4JVQQ7kNvwEaedIf&_nc_oc=Adps2dqLe4z6T75aPkc8_evPogjDmnnaB6tSu7KlY2-h6oa6A9kOQhKxDQohguo-V2Q&_nc_zt=23&_nc_ht=scontent-icn2-1.xx&_nc_gid=xSD9q45D2pO7WpXbETuemg&_nc_ss=7b2a8&oh=00_Af5QZV-HA-kldjLSfKmPx5Ij5v7oGK3tdRAyF921Seyd6A&oe=6A07DFB8,,,,0,,,,
